ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1900158_04/01/2008,0.0,29.666,1015.828979,26.965,1900158_04/01/2008,-8.221,83.688,2008-01-04,Equatorial Region
2900553_04/01/2008,309.3,12.626,1026.790039,35.415,2900553_04/01/2008,13.802,68.488,2008-01-04,Arabian Sea
4900482_04/01/2008,68.7,10.126,1026.524048,34.479,4900482_04/01/2008,-47.615,133.758,2008-01-04,Indian Ocean
2900555_04/01/2008,4.8,26.495,1024.051025,36.552,2900555_04/01/2008,16.014,67.183,2008-01-04,Arabian Sea
4900511_04/01/2008,229.3,12.491,1026.574951,35.104,4900511_04/01/2008,0.749,86.554,2008-01-04,Equatorial Region
4900510_04/01/2008,1648.8,3.736,1027.672974,34.823,4900510_04/01/2008,-0.733,94.544,2008-01-04,Equatorial Region
2900464_04/01/2008,1899.3,2.848,1027.692993,34.742,2900464_04/01/2008,-22.119,77.815,2008-01-04,Indian Ocean
2900563_04/01/2008,999.6,8.236,1027.463989,35.287,2900563_04/01/2008,7.111,55.431,2008-01-04,Equatorial Region
1900190_04/01/2008,1499.3,2.41,1027.682983,34.681,1900190_04/01/2008,-47.117,100.75,2008-01-04,Indian Ocean
1900462_04/01/2008,1899.3,2.692,1027.714966,34.752,1900462_04/01/2008,-24.34,37.158,2008-01-04,Indian Ocean
5901258_04/01/2008,351.0,11.464,1026.671997,34.976,5901258_04/01/2008,-33.497,85.651,2008-01-04,Indian Ocean
2900557_04/01/2008,299.3,14.671,1026.722046,35.877,2900557_04/01/2008,16.905,65.355,2008-01-04,Arabian Sea
2900805_04/01/2008,349.2,17.294,1026.723999,36.667,2900805_04/01/2008,24.833,57.823,2008-01-04,Indian Ocean
2900802_04/01/2008,824.6,10.448,1027.311035,35.559,2900802_04/01/2008,24.243,59.218,2008-01-04,Indian Ocean
2900561_04/01/2008,1898.8,3.13,1027.724976,34.815,2900561_04/01/2008,3.714,61.459,2008-01-04,Equatorial Region
2900562_04/01/2008,1960.8,3.032,1027.733032,34.813,2900562_04/01/2008,4.556,57.654,2008-01-04,Equatorial Region
2900565_04/01/2008,9.2,28.575,1022.351013,35.191,2900565_04/01/2008,-0.365,75.28,2008-01-04,Equatorial Region
2900567_04/01/2008,1848.7,3.111,1027.723022,34.81,2900567_04/01/2008,0.611,66.984,2008-01-04,Equatorial Region
2900568_04/01/2008,4.5,28.148,1021.69397,34.13,2900568_04/01/2008,-5.754,83.464,2008-01-04,Equatorial Region
2900566_04/01/2008,1981.6,2.786,1027.730957,34.782,2900566_04/01/2008,-1.586,66.185,2008-01-04,Equatorial Region
